train_times,steps,reward,Q loss,update_QNet_times,G loss,update_G_times,D loss,update_D_times,W_D
0,293.5,0.1960381117437819,nan,1,nan,1,nan,1,nan
5,546.75,0.09216526587814589,0.04582012340012524,2,-0.012118813274342017,2,-7.098643334530019,2,8.966629762685754
10,529.5,0.08588655452437495,0.5398944863656329,3,-0.04207938435483138,4,-5.496530413539322,3,6.6470439308400575
15,597.125,0.055874772784160025,0.8448089241116213,3,-0.06514459567851218,5,-4.5834977543711455,3,5.4357655663585795
20,637.7,0.037768544524083944,7.138491655324572,3,-0.12267552894811459,6,-4.311372841192933,3,5.046191450404336
25,664.75,0.027811027829253838,24.80474753009055,3,-0.13075114729068926,7,-3.7231251681727713,3,4.417391765949893
30,684.0714285714286,0.015711808373512638,54.17135814410758,3,-0.27488557135806796,8,-3.3910117733326124,3,4.006559546908103
35,698.5625,0.011497804062904422,119.91833895145976,3,-0.2790270360569555,9,-3.273427618411979,3,3.883145912628634
40,709.8333333333334,0.006677974466181695,200.10270900216435,3,-0.28674395110755485,10,-2.9733839356572807,3,3.546315689044136
45,677.35,0.015758845047417678,275.4346089070526,4,-0.2670388153212614,11,-2.7330401523254464,4,3.292575607202911
50,728.0,-0.004509330688835996,269.24462407022105,5,-0.08016214283793625,11,-2.3487506199900907,4,2.8737232299568425
55,728.0,-0.009793354407270435,316.6799624171747,5,0.14114271137076212,11,-1.677178635330486,4,2.04227076954501
60,748.4,-0.01373214837217265,369.5702367867175,6,0.30726882886958296,12,-1.447727211816266,6,1.8219568981414749
65,748.4,-0.013590374667730627,394.9254269618352,7,0.4519968416570272,12,-1.0443670634136433,6,1.4369221533179284
70,748.4,-0.013172219322351453,423.71079502385453,8,0.56100293051736,12,-0.8393355778958235,7,1.2365174930118852
75,748.4,-0.014039351583848576,449.4851406951904,9,0.6070882994484983,13,-0.8168453516071871,8,1.1965254189527699
80,748.4,-0.010582713018000253,451.00604172668454,10,0.6840706648274013,14,-0.7173021907800808,9,1.1111655812303227
85,748.4,-0.010426609752468513,416.3028251256307,11,0.597395993309199,15,-0.5685968141210784,10,0.9191203311079906
90,748.4,-0.006531250620458133,369.6019646418253,12,0.4476493325058577,16,-0.618665552440472,11,0.9516180190910069
95,789.9,-0.020614373829449258,303.7736424931844,13,0.46130634928691305,17,-0.49123382989509656,11,0.850015291799936
